Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Argentina,ARG,1983,14407.2334,330.1798095703125,1878.134033203125
Argentina,ARG,1984,13961.56934,442.8443908691406,1988.9532470703125
Argentina,ARG,1985,13364.2207,541.4666748046875,2033.809082
Argentina,ARG,1986,14009.29395,527.8695068359375,2038.5709228515625
Argentina,ARG,1987,14376.81348,588.2597656,2088.652832
Argentina,ARG,1988,15117.19629,519.4967651367188,1437.169677734375
Argentina,ARG,1989,14550.84375,444.7609863,1223.503662109375
Argentina,ARG,1990,13475.30078,633.3783569335938,1618.7764892578125
Argentina,ARG,1991,13663.3252,665.3092041015625,1431.222656
Argentina,ARG,1992,14378.98535,599.2499389648438,1702.5667724609375
Argentina,ARG,1993,14284.20898,647.3557739257812,2077.976074
Argentina,ARG,1994,14661.02637,679.2186279296875,2354.540039
Argentina,ARG,1995,15200.97656,575.6800537109375,2261.130126953125
Argentina,ARG,1996,16136.34863,600.4879150390625,1906.263916015625
Argentina,ARG,1997,15675.98926,633.5131836,2332.941650390625
Argentina,ARG,1998,16310.67676,586.4108887,2191.817138671875
Argentina,ARG,1999,16769.75195,552.9179688,1760.7418212890625
Argentina,ARG,2000,16147.67676,475.371582,2327.908691
Argentina,ARG,2001,14856.94336,533.859375,2917.956298828125
Argentina,ARG,2002,14112.33008,432.6776428222656,2822.021728515625
Argentina,ARG,2003,15209.73535,552.8211669921875,2653.421875
Argentina,ARG,2004,16426.73828,565.3004760742188,2357.901611328125
Argentina,ARG,2005,17242.46094,485.565918,2599.604004
Argentina,ARG,2006,17759.80859,536.5686645507812,2843.152344
Argentina,ARG,2007,19030.89648,495.9848633,2315.061035
Argentina,ARG,2008,19123.05078,497.45489501953125,2286.442626953125
Argentina,ARG,2009,18057.90234,541.6973266601562,2484.439453
Argentina,ARG,2010,18645.07031,469.5685729980469,2523.278809
Argentina,ARG,2011,19191.98438,410.0153809,2405.273438
Argentina,ARG,2012,19915.3125,403.4139099121094,2312.057373046875
Argentina,ARG,2013,20357.35547,384.70831298828125,2550.560791015625
Argentina,ARG,2014,20108.04883,336.1925354003906,2536.880859
Argentina,ARG,2015,20188.97266,422.2812194824219,2523.387451171875
Argentina,ARG,2016,19986.52539,489.1721191,2317.373291015625
Argentina,ARG,2017,19719.5957,353.8534851074219,2472.050537109375
Argentina,ARG,2018,19249.75391,393.2908630371094,2526.842041015625
Argentina,ARG,2019,17829.91602,476.90887451171875,2479.088867
Argentina,ARG,2020,16521.5625,594.5509643554688,2373.751708984375
Argentina,ARG,2021,17940.70313,596.3616943359375,2368.436035
Asia,,1965,2603.125977,0.037446175,223.23260498046875
Asia,,1966,2767.058105,0.8541723489761353,227.37722778320312
Asia,,1967,2852.606201171875,0.8976353406906128,207.36734008789062
Asia,,1968,2995.656738,1.453086256980896,224.78265380859375
Asia,,1969,3342.052246,2.4528865814208984,227.60183715820312
Asia,,1970,3713.774414,7.801852226257324,227.6463623046875
Asia,,1971,3977.974853515625,11.68060589,243.04957580566406
Asia,,1972,4134.57666,13.400382995605469,245.53573608398438
Asia,,1973,4414.052734,14.866851806640625,223.16995239257812
Asia,,1974,4380.106934,26.601919174194336,248.59176635742188
Asia,,1975,4428.030273,32.95327377319336,262.1756896972656
Asia,,1976,4587.053223,43.13499832,264.0528869628906
Asia,,1977,4825.175293,38.602970123291016,254.55213928222656
Asia,,1978,5033.603027,74.29800415039062,263.1267395019531
Asia,,1979,5195.453125,89.84794616699219,279.9817199707031
Asia,,1980,5073.696289,103.6876220703125,295.6029052734375
Asia,,1981,5028.618652,109.29533386230469,310.9901428222656
Asia,,1982,5029.313477,125.37940216064453,312.19158935546875
Asia,,1983,5182.51123,147.08673095703125,321.9260254
Asia,,1984,5491.992676,173.4700469970703,318.0177307128906
Asia,,1985,6283.396973,209.10162353515625,367.11932373046875
Asia,,1986,6420.326172,217.9500274658203,363.30804443359375
Asia,,1987,6629.841309,252.78048706054688,368.4104309082031
Asia,,1988,6953.138672,233.74105834960938,413.4368591308594
Asia,,1989,7154.601074,239.2789764404297,415.95245361328125
Asia,,1990,7291.222168,252.6126708984375,424.9622802734375
Asia,,1991,7449.473145,265.1217041015625,422.4460754394531
Asia,,1992,7677.400391,267.7291564941406,418.7681579589844
Asia,,1993,7828.74707,292.0674743652344,456.1479797363281
Asia,,1994,8128.208984,307.11334228515625,449.3144836425781
Asia,,1995,8322.806641,333.6094970703125,480.9725646972656
Asia,,1996,8583.462891,347.33697509765625,471.2918395996094
Asia,,1997,8708.921875,364.3375549316406,466.2842712402344
Asia,,1998,8564.032227,373.9498596191406,487.7794494628906
Asia,,1999,8755.362305,375.1831359863281,472.7209473
Asia,,2000,8987.318359,380.86529541015625,482.9272766113281
Asia,,2001,9172.376953,378.46893310546875,510.2497559
Asia,,2002,9529.145508,380.8414611816406,518.9459838867188
Asia,,2003,10244.28906,332.5564880371094,530.5969848632812
Asia,,2004,11042.03711,374.6016845703125,611.7882690429688
Asia,,2005,11756.82813,384.0478516,627.4793090820312
Asia,,2006,12276.37109,387.18072509765625,681.1843262
Asia,,2007,12932.74902,364.8706055,708.7853393554688
Asia,,2008,13161.93262,348.07049560546875,796.0665893554688
Asia,,2009,13325.59375,357.8840332,781.9249267578125
Asia,,2010,13976.39355,370.50628662109375,899.4522094726562
Asia,,2011,14649.39355,302.29254150390625,924.8514404296875
Asia,,2012,15017.76563,212.16290283203125,1041.722656
Asia,,2013,15171.3584,211.1372833251953,1136.089599609375
Asia,,2014,15354.89258,223.85806274414062,1249.077637
Asia,,2015,15423.79004,248.38864135742188,1324.1646728515625
Asia,,2016,15532.99023,273.5401916503906,1415.1717529296875
Asia,,2017,15787.22852,284.4127502441406,1533.6571044921875
Asia,,2018,16102.86523,313.24188232421875,1658.6781005859375
Asia,,2019,16190.54102,360.4484558105469,1803.3148193359375
Asia,,2020,15696.7998,361.57940673828125,1904.508301
Asia,,2021,16403.88867,391.9978332519531,2071.442383
Australia,AUS,1965,35540.52734,0,2093.434814453125
Australia,AUS,1966,36527.30469,0,1951.6099853515625
Australia,AUS,1967,37789.11719,0,1967.7874755859375
Australia,AUS,1968,39071.34766,0,1998.2266845703125
Australia,AUS,1969,39608.20703,0,2122.853759765625
Australia,AUS,1970,42147.46484,0,2415.985595703125
Australia,AUS,1971,43269.78125,0,2675.253906
Australia,AUS,1972,44626.3125,0,2646.965576171875
Australia,AUS,1973,47048.66797,0,2785.038818359375
Australia,AUS,1974,49208.25391,0,3115.964599609375
Australia,AUS,1975,49248.66016,0,3309.597900390625
Australia,AUS,1976,50638.95313,0,3114.143310546875
Australia,AUS,1977,52832.875,0,2939.055419921875
Australia,AUS,1978,53794.05078,0,3136.109619140625
Australia,AUS,1979,55354.99219,0,3015.317383
Australia,AUS,1980,55057.26563,0,2813.850586
Australia,AUS,1981,55186.32422,0,2861.987548828125
Australia,AUS,1982,54109.05469,0,2630.908691
Australia,AUS,1983,51578.29688,0,2449.898438
Australia,AUS,1984,52661.01172,0,2607.835205078125
Australia,AUS,1985,53301.1875,0,2724.621826171875
Australia,AUS,1986,53523.36719,0,2697.806396484375
Australia,AUS,1987,54342.02344,0,2580.224609
Australia,AUS,1988,55842.20703,0,2718.185791015625
Australia,AUS,1989,57876.67969,0,2676.418701171875
Australia,AUS,1990,58193.17969,0,2716.187255859375
Australia,AUS,1991,56820.78125,0,2827.358887
Australia,AUS,1992,57054.62109,0,2833.748291015625
Australia,AUS,1993,57570.98828,0,2876.978027
Australia,AUS,1994,59298.14453,0,2811.831055
Australia,AUS,1995,61432.49219,0,2719.884033203125
Australia,AUS,1996,62553.36328,0,2767.372559
Australia,AUS,1997,63458.31641,0,2744.669189453125
Australia,AUS,1998,64346.3125,0,2707.468017578125
Australia,AUS,1999,66283,0,2768.217285
Australia,AUS,2000,65987.34375,0,2741.509766
Australia,AUS,2001,65876.0625,0,2652.581055
Australia,AUS,2002,66438.36719,0,2718.882568359375
Australia,AUS,2003,66562.03125,0,2784.230712890625
Australia,AUS,2004,67795.58594,0,2851.721435546875
Australia,AUS,2005,66878.67188,0,3014.895751953125
Australia,AUS,2006,68622.75781,0,3033.505615234375
Australia,AUS,2007,69145.50781,0,2863.602783203125
Australia,AUS,2008,69160.73438,0,2643.342041015625
Australia,AUS,2009,66680.90625,0,2720.728271484375
Australia,AUS,2010,65167.48438,0,2937.223388671875
Australia,AUS,2011,65092.71875,0,3933.808594
Australia,AUS,2012,63111.28906,0,3814.934814453125
Australia,AUS,2013,62396.19531,0,4356.172363
Australia,AUS,2014,62277.48047,0,3960.939941
Australia,AUS,2015,62632.31641,0,4204.019531
Australia,AUS,2016,61431.47656,0,4758.515137
Australia,AUS,2017,60698.5,0,4393.813477
Australia,AUS,2018,59710.23828,0,5404.568848
Australia,AUS,2019,60699,0,5915.882324
